variant,tokenizer,model,remove_velocity,hard_quantization,dataset_a,dataset_b,fmd,valid,real_pair,source_a,source_b,real_files_a,real_files_b,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,pop909,classical,0.06284550040908841,True,True,real,real,120,120,0.11822793603240556,0.007545353366783787,0.10779861728900941,0.13598444940253168
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,pop909,pop,0.04774680481666122,True,True,real,real,120,120,0.11243768017858372,0.007066539413127221,0.10310616935845306,0.13122262339018156
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,pop909,rap,0.07786285908602084,True,True,real,real,120,120,0.1287932694005461,0.005802390904078031,0.12021579074506537,0.1404008557695145
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,jazz,rock,0.05708399825317591,True,True,real,real,120,120,0.11647669300295511,0.005743282765418742,0.10787575746878507,0.12838892142776478
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,jazz,classical,0.07553624176825154,True,True,real,real,120,120,0.1269310023484616,0.007589026255180446,0.11275361043751526,0.14487853294418454
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,jazz,pop,0.05855545343310448,True,True,real,real,120,120,0.11805985779874344,0.0066259246438581994,0.105429881290115,0.13284478420758894
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,jazz,rap,0.06585656766063942,True,True,real,real,120,120,0.12268382052872817,0.005954865043312064,0.11329381805591252,0.136145930679552
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,rock,classical,0.08940685236205434,True,True,real,real,120,120,0.13226981256265985,0.006572672353259063,0.12196426233545121,0.14524670859607908
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,rock,pop,0.06624266655836303,True,True,real,real,120,120,0.11977105235229328,0.006570071847111934,0.10888806819854863,0.1330182379671419
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,rock,rap,0.06783280291894683,True,True,real,real,120,120,0.12191428463692644,0.005082396108012928,0.11307207675556168,0.13232777093786693
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,classical,pop,0.056396334565927464,True,True,real,real,120,120,0.11442763270274414,0.004680038458683647,0.1060069877066857,0.1236840911435515
