variant,genre_a,genre_b,pair,dataset_a,dataset_b,fmd
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.053188881872501516
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.053188881872501516
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.20774740117211105
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.20774740117211105
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.2338194621513662
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.2338194621513662
tok=Octuple|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.0988690226101794
tok=Octuple|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.0988690226101794
tok=Octuple|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.1033981913870507
tok=Octuple|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.1033981913870507
tok=Octuple|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.4188653748244391
tok=Octuple|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.4188653748244391
