n_per_cell,total_rows,resample,factor,eta_sq,p_value,significant
3,864,17,tokenizer,0.019307612213643546,0.0007855564664917973,True
3,864,17,model,0.7844380734261943,1.2669815524894539e-287,True
3,864,17,preprocess,0.0020423712496092585,0.6238409576090815,False
3,864,18,tokenizer,0.020019179843705843,0.000584374089067815,True
3,864,18,model,0.7822232286036327,1.032700572360937e-285,True
3,864,18,preprocess,0.0027908847779274473,0.49272075594449927,False
3,864,19,tokenizer,0.01964079556633704,0.0006839999798568743,True
3,864,19,model,0.7777927965398005,6.01695208042037e-282,True
3,864,19,preprocess,0.0023398053945829257,0.5691419211632156,False
3,864,20,tokenizer,0.019971323833022046,0.0005961320572607959,True
3,864,20,model,0.7739112023680857,1.0402279975658345e-278,True
3,864,20,preprocess,0.002435915168064896,0.5521836421299392,False
3,864,21,tokenizer,0.019158084741061076,0.0008358628254883229,True
3,864,21,model,0.7842344079250642,1.9025344023881033e-287,True
3,864,21,preprocess,0.002197763790908459,0.5948545219198642,False
3,864,22,tokenizer,0.01952918690251258,0.0007164789817603316,True
3,864,22,model,0.7799135829208421,9.69147682541174e-284,True
3,864,22,preprocess,0.0028127946773653318,0.48921607693181635,False
3,864,23,tokenizer,0.019328367169421566,0.0007788151954566656,True
3,864,23,model,0.7751820227097481,9.188847477731133e-280,True
3,864,23,preprocess,0.0020774254155810578,0.6172261595625876,False
3,864,24,tokenizer,0.02005537513547547,0.0005756340982978082,True
3,864,24,model,0.7781228023900234,3.173257182293879e-282,True
3,864,24,preprocess,0.001849604786013584,0.66096488358648,False
3,864,25,tokenizer,0.018844249820112048,0.0009520632801310453,True
3,864,25,model,0.775874054732818,2.437046362042927e-280,True
3,864,25,preprocess,0.0025171530373118093,0.5381318354810607,False
3,864,26,tokenizer,0.019553194792815476,0.0007093658664758528,True
3,864,26,model,0.7732706502671353,3.51627738186314e-278,True
3,864,26,preprocess,0.0018770723205766837,0.6556005800143947,False
3,864,27,tokenizer,0.019639894948318835,0.0006842561337391653,True
3,864,27,model,0.774448815787263,3.732678212792845e-279,True
3,864,27,preprocess,0.0021297221001151875,0.6074391298462176,False
3,864,28,tokenizer,0.020283282724272194,0.0005235036745842169,True
3,864,28,model,0.7821426686620735,1.2109416932160928e-285,True
3,864,28,preprocess,0.0022096791658680814,0.5926683287003689,False
3,864,29,tokenizer,0.01939564031261033,0.0007573563563941641,True
3,864,29,model,0.7815116218827267,4.206304687079476e-285,True
3,864,29,preprocess,0.002086085000741025,0.6155987867278936,False
5,1440,0,tokenizer,0.019654831383367943,2.8311234766416303e-06,True
5,1440,0,model,0.7761429447520382,0.0,True
5,1440,0,preprocess,0.0025029720811733146,0.30801891411670457,False
5,1440,1,tokenizer,0.019291299540358915,3.6624938434889395e-06,True
5,1440,1,model,0.7753018387532082,0.0,True
5,1440,1,preprocess,0.0021237803349234397,0.38336593946562864,False
5,1440,2,tokenizer,0.01951291203404606,3.1305778170401172e-06,True
5,1440,2,model,0.781702568777287,0.0,True
5,1440,2,preprocess,0.0022260646142436753,0.3616169301081809,False
5,1440,3,tokenizer,0.019557417267661505,3.0334226835614484e-06,True
5,1440,3,model,0.780689594991142,0.0,True
5,1440,3,preprocess,0.00258176311448299,0.29410938143263693,False
5,1440,4,tokenizer,0.019818242852482057,2.5215062279068336e-06,True
5,1440,4,model,0.7801152013590497,0.0,True
5,1440,4,preprocess,0.0024461996438938332,0.3184002647736571,False
5,1440,5,tokenizer,0.020111481661162497,2.048074512509025e-06,True
5,1440,5,model,0.7780723905365841,0.0,True
5,1440,5,preprocess,0.001997500901161838,0.4117392609804563,False
5,1440,6,tokenizer,0.019493747089412254,3.1733640496473584e-06,True
5,1440,6,model,0.7776193404835718,0.0,True
5,1440,6,preprocess,0.0025054599227393296,0.3075709291973979,False
5,1440,7,tokenizer,0.01954861765994229,3.0523910210609916e-06,True
5,1440,7,model,0.777101858511391,0.0,True
5,1440,7,preprocess,0.0022252766186209912,0.3617803483879855,False
5,1440,8,tokenizer,0.01960492282208005,2.933030252343715e-06,True
5,1440,8,model,0.7780953237510838,0.0,True
5,1440,8,preprocess,0.0021200950078658818,0.38416994759848944,False
5,1440,9,tokenizer,0.01930428651676504,3.6289764474198167e-06,True
5,1440,9,model,0.775452704121933,0.0,True
5,1440,9,preprocess,0.0020004973177523014,0.41104617462687576,False
