cov_method,tokenizer,model,remove_velocity,hard_quantization,pair,repeat,fmd,nfmd_trace
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_country,2,0.14635579172884416,0.16099698705918142
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_country,3,0.1359475720025598,0.14498358319820434
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_country,4,0.14836665313156083,0.1564588679407752
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_electronic,0,0.09752965449874518,0.10885228412895925
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_electronic,1,0.09259813222727908,0.10521695522371148
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_electronic,2,0.10512472580463117,0.11705116269114445
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_electronic,3,0.10748540215166513,0.12135895675547714
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_electronic,4,0.0950554326155908,0.10790504238721939
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_country,0,0.15202358252303738,0.17345189396840355
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_country,1,0.15966211968488775,0.18191124752652257
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_country,2,0.1399595515278549,0.16004782811976437
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_country,3,0.12617984781258473,0.14353285038308283
ledoit_wolf,REMI,CLaMP-2,False,False,jazz_vs_country,4,0.17308222691660102,0.19776269193617652
ledoit_wolf,REMI,CLaMP-2,False,False,electronic_vs_country,0,0.1415213479715285,0.15354692279112603
ledoit_wolf,REMI,CLaMP-2,False,False,electronic_vs_country,1,0.1564484107704096,0.1641115650761639
ledoit_wolf,REMI,CLaMP-2,False,False,electronic_vs_country,2,0.15485873046010135,0.16314891675637946
ledoit_wolf,REMI,CLaMP-2,False,False,electronic_vs_country,3,0.15612665768670875,0.1664887336394161
ledoit_wolf,REMI,CLaMP-2,False,False,electronic_vs_country,4,0.14429972504767796,0.15135757777784536
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_jazz,0,0.1362530874853023,0.1752428372181878
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_jazz,1,0.11659935380933606,0.1522247726774435
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_jazz,2,0.14565344753383824,0.1893878826645065
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_jazz,3,0.14162781656096857,0.19052006052487755
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_jazz,4,0.14405868896782803,0.17920974043286755
ledoit_wolf,REMI,CLaMP-2,True,True,rock_vs_electronic,0,0.09205866589855027,0.10355005939352667
